feature,importance
down_up_ratio_max,0.07692573103651923
syn_flag_mean,0.07680224311122176
flow_bytes_per_s_min,0.07365984086162511
down_up_ratio_mean,0.07039774098449941
interarrival_std,0.07036553746231365
syn_flag_min,0.07004919097069702
flow_duration_mean,0.06038419150305798
flow_rate_per_window,0.05693906843604797
flow_iat_mean_mean,0.05037027552960443
flow_bytes_per_s_mean,0.04699964786873812
flow_iat_mean_max,0.04672058098159975
flow_iat_std_mean,0.03725374405224472
flow_iat_std_max,0.037131380445441266
flow_duration_max,0.036916025148049626
flow_packets_per_s_min,0.03333333333333334
interarrival_max,0.019518127266345987
flow_iat_mean_std,0.012885393257731003
psh_flag_max,0.012852727927679214
syn_flag_max,0.012740295038796692
flow_duration_min,0.009693753123835787
down_up_ratio_std,0.009506812438140099
bwd_bytes_mean,0.009377981420565054
bwd_bytes_max,0.009324540530658872
flow_iat_std_min,0.006668510046668547
ack_flag_max,0.006545173968341056
flow_packets_per_s_mean,0.006542317748696496
flow_packets_per_s_max,0.006266900829549242
flow_bytes_per_s_max,0.006264671187184314
down_up_ratio_min,0.0062340721183482915
packet_length_std_mean,0.0032216099720983934
total_bwd_packet_max,0.003085949771279546
flow_duration_std,0.003074902822323052
total_fwd_packet_max,0.003028623332998731
total_fwd_packet_mean,0.0030003521312618906
avg_packet_size_min,0.00294592413236482
ack_flag_min,0.0004563371009072141
rst_flag_mean,0.00032289676974938016
interarrival_min,0.00031835113028823666
fwd_bytes_min,0.0002869758273679763
avg_packet_size_mean,0.00026990695538584995
ack_flag_mean,0.00023566208308611216
high_rate_flow_ratio,0.00023515535850579397
total_fwd_packet_std,0.0001873696961682852
ack_flag_std,0.0001554351015413811
flow_iat_mean_min,0.00013706437585845683
rst_flow_ratio,0.00012024834067901814
psh_flag_mean,0.00010690648026191345
fwd_bytes_mean,7.122773970524979e-05
flow_bytes_per_s_std,6.929225063456069e-05
avg_packet_size_max,1.9201504241155042e-17
total_fwd_packet_min,1.2932627928460605e-17
rst_flag_std,1.1900262771794725e-17
interarrival_mean,1.0964066751511138e-17
bwd_bytes_std,8.860865474421098e-18
packet_length_std_std,8.425041822010997e-18
total_bwd_packet_std,5.996279525533255e-18
total_bwd_packet_mean,5.599018481135625e-18
avg_packet_size_std,5.0709698491907585e-18
bwd_bytes_min,4.7502686408424934e-18
packet_length_std_max,4.292667172223468e-18
flow_packets_per_s_std,4.232562802754234e-18
fwd_bytes_max,3.667185036839085e-18
total_bwd_packet_min,1.5440156259388064e-18
window_duration_sec,0.0
fwd_bytes_std,0.0
flow_iat_std_std,0.0
psh_flag_min,0.0
rst_flag_max,0.0
rst_flag_min,0.0
syn_flag_std,0.0
psh_flag_std,0.0
packet_length_std_min,0.0
short_flow_ratio,0.0
